FactionTag,PlayerName,GridName,NumberOfSubGrids,TotalBlocks,X,Y,Z,Server
ABN,Igo Solo,Welder Ship Impossible,1,366,-317129.789439437,-1966720.65289716,-2904962.6387316,TDRAC02
ERG,永,SP-Asteroid-Base,2,727,-314271.226015533,-2199934.10202051,-2798076.73978672,TDRAC02
ERG,Kittamaru,Magic School Bus,1,1279,267257.150596543,-2948823.1360171,-3761414.74644497,TDRAC02
ERG,Kittamaru,USS Venture,1,1089,-147918.337590609,-1869585.86936034,-2702698.93526296,TDRAC02
VSI,Izual,roadblock,1,654,-146041.166851737,-1826942.64985356,-2705594.6158698,TDRAC02
INV,Dipoblo,NIBBLES 02,1,208,-173696.715446598,-2079082.71272526,-2820075.45874526,TDRAC02
TML,TAINT_NLD,TML Deep Space Station,1,71,530040.529062929,-1067507.88852239,-2165340.63755147,TDRAC02
ABN,jobs,projector piston Sub-4003 01,1,98,-317141.404703852,-1966723.21148901,-2904973.81548989,TDRAC02
NMI,Lord Ovie,Rusty Miner,1,342,-186296.861518814,-1701438.79559583,-2631714.89527703,TDRAC02
WLYC,Spaceman Spiff,WLYC-Remote-Station-Delta,1,1185,276811.33612307,-2941853.30958762,-3296525.62628319,TDRAC02
UpO,Cornellius,Astro Base v0.1,1,31,-170330.867941484,-1832841.94733858,-2692268.62953206,TDRAC02
TBC,Chief,Rider 1,5,144,8554.38472238973,-2621792.67567238,-2495270.67890021,TDRAC02
WLYC,Spaceman Spiff,WLYC-Remote-Station-Omega,1,118,-129008.249950578,-2271984.69141518,-2698043.42446809,TDRAC02
INV,Dipoblo,NIBBLES Sub-2559,1,174,-173716.588493473,-2079034.49788151,-2820040.5145314,TDRAC02
WLYC,Spaceman Spiff,WLYC-Remote-Station-Chi,1,1377,-186533.954513185,-2166818.56846058,-2550700.58825508,TDRAC02
IEC,Prodo_Letum,USS Fuck,1,272,276536.607838743,-2938716.77801188,-3365295.12471615,TDRAC02
XTS,XTerm1986,XTS Zulu base ,2,1211,-1311072.46001946,-260132.837012237,-2758845.89381916,TDRAC02
